"nameWithOwner","stars__totalCount","createdAt","contributors","metrics__metric","metrics__value","metrics__bestValue"
"","","","","ncloc_language_distribution","css=350;js=17;kotlin=1797;web=47;xml=13",""
"","","","","comment_lines","524",""
"","","","","code_smells","5","False"
"","","","","violations","5","False"
"","","","","files","39",""
"","","","","functions","201",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","459",""
"","","","","comment_lines_density","19.1","False"
"","","","","complexity","321",""
"","","","","ncloc","2224",""
"RedMadRobot/input-mask-android","879","2016-10-26T10:18:48Z","9","functions","217",""
"","","","","statements","1526",""
"","","","","complexity","436",""
"","","","","code_smells","161","False"
"","","","","ncloc","3510",""
"","","","","comment_lines_density","14.2","False"
"","","","","files","31",""
"","","","","comment_lines","583",""
"","","","","violations","161","False"
"","","","","ncloc_language_distribution","java=66;kotlin=3377;xml=67",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","4364",""
"kizitonwose/Time","866","2017-10-26T14:00:56Z","5","ncloc","238",""
"","","","","sqale_rating","1.0","True"
"","","","","files","6",""
"","","","","comment_lines_density","8.1","False"
"","","","","functions","23",""
"","","","","comment_lines","21",""
"","","","","lines","354",""
"","","","","violations","9","False"
"","","","","statements","68",""
"","","","","complexity","27",""
"","","","","ncloc_language_distribution","kotlin=233;xml=5",""
"","","","","code_smells","9","False"
"qingmei2/RxImagePicker","865","2018-01-08T11:27:25Z","3","statements","1822",""
"","","","","comment_lines_density","19.8","False"
"","","","","files","163",""
"","","","","violations","39","False"
"","","","","functions","477",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","829",""
"","","","","code_smells","39","False"
"","","","","ncloc","7307",""
"","","","","ncloc_language_distribution","java=15;kotlin=6072;xml=1220",""
"","","","","comment_lines","1801",""
"","","","","lines","10165",""
"perwendel/spark-kotlin","851","2017-05-24T08:39:20Z","3","comment_lines","309",""
"","","","","functions","128",""
"","","","","ncloc_language_distribution","java=6;kotlin=1101;web=1;xml=206",""
"","","","","code_smells","11","False"
"","","","","comment_lines_density","19.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","violations","13","False"
"","","","","ncloc","1314",""
"","","","","lines","1738",""
"","","","","files","17",""
"","","","","statements","385",""
"","","","","complexity","154",""
"armcha/Ribble","843","2017-07-29T06:46:26Z","1","ncloc","7962",""
"","","","","violations","63","False"
"","","","","comment_lines","853",""
"","","","","comment_lines_density","9.7","False"
"","","","","ncloc_language_distribution","java=381;kotlin=5502;xml=2079",""
"","","","","functions","464",""
"","","","","code_smells","55","False"
"","","","","statements","1674",""
"","","","","complexity","770",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","9672",""
"","","","","files","211",""
"loopeer/code-reader","841","2016-08-03T10:22:44Z","7","ncloc","16074",""
"","","","","comment_lines","2498",""
"","","","","functions","933",""
"","","","","statements","5736",""
"","","","","lines","21372",""
"","","","","violations","258","False"
"","","","","comment_lines_density","13.5","False"
"","","","","code_smells","239","False"
"","","","","ncloc_language_distribution","css=1046;java=3382;js=1224;kotlin=8502;web=31;xml=1889",""
"","","","","complexity","2399",""
"","","","","files","232",""
"","","","","sqale_rating","1.0","True"
"iceCola7/WanAndroid","840","2018-04-20T14:16:50Z","1","complexity","2132",""
"","","","","statements","5201",""
"","","","","comment_lines_density","12.6","False"
"","","","","violations","255","False"
"","","","","lines","22601",""
"","","","","functions","1102",""
"","","","","sqale_rating","1.0","True"
"","","","","files","363",""
"","","","","comment_lines","2699",""
"","","","","code_smells","243","False"
"","","","","ncloc","18660",""
"","","","","ncloc_language_distribution","java=2828;kotlin=11965;xml=3867",""
"pawegio/KAndroid","838","2015-03-26T19:03:16Z","4","ncloc","874",""
"","","","","comment_lines","373",""
"","","","","ncloc_language_distribution","kotlin=866;xml=8",""
"","","","","violations","4","False"
"","","","","comment_lines_density","29.9","False"
"","","","","complexity","111",""
"","","","","code_smells","4","False"
"","","","","files","26",""
"","","","","statements","212",""
"","","","","lines","1550",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","81",""
"Hamadakram/Sneaker","837","2017-05-26T11:09:12Z","2","lines","387",""
"","","","","functions","3",""
"","","","","ncloc_language_distribution","kotlin=62;xml=295",""
"","","","","violations","0","True"
"","","","","complexity","3",""
"","","","","comment_lines","0",""
"","","","","files","13",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","17",""
"","","","","code_smells","0","True"
"","","","","ncloc","357",""
"","","","","comment_lines_density","0.0","False"
"ajalt/clikt","832","2018-04-10T18:04:56Z","15","ncloc_language_distribution","css=13;kotlin=8069",""
"","","","","comment_lines_density","13.7","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","1288",""
"","","","","lines","9225",""
"","","","","files","70",""
"","","","","functions","503",""
"","","","","complexity","871",""
"","","","","violations","333","False"
"","","","","statements","2078",""
"","","","","ncloc","8082",""
"","","","","code_smells","333","False"
"shellljx/TagViewGroup","829","2016-12-22T07:23:46Z","1","functions","141",""
"","","","","lines","2171",""
"","","","","ncloc_language_distribution","java=709;kotlin=836;xml=210",""
"","","","","violations","37","False"
"","","","","code_smells","28","False"
"","","","","complexity","232",""
"","","","","statements","570",""
"","","","","ncloc","1755",""
"","","","","files","37",""
"","","","","comment_lines_density","9.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","185",""
"MarioAriasC/funKTionale","828","2013-03-29T12:49:05Z","11","violations","544","False"
"","","","","ncloc_language_distribution","kotlin=4590;xml=870",""
"","","","","code_smells","544","False"
"","","","","sqale_rating","2.0","False"
"","","","","comment_lines","1215",""
"","","","","complexity","576",""
"","","","","lines","8132",""
"","","","","files","69",""
"","","","","comment_lines_density","18.2","False"
"","","","","statements","2603",""
"","","","","ncloc","5460",""
"","","","","functions","378",""
"TradeMe/MapMe","825","2017-07-25T01:14:06Z","4","statements","768",""
"","","","","violations","33","False"
"","","","","comment_lines_density","13.1","False"
"","","","","lines","3140",""
"","","","","functions","217",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","357",""
"","","","","files","53",""
"","","","","code_smells","32","False"
"","","","","ncloc_language_distribution","java=849;kotlin=1398;xml=221",""
"","","","","comment_lines","371",""
"","","","","ncloc","2468",""
"kiruto/debug-bottle","825","2016-08-19T10:07:01Z","1","lines","17298",""
"","","","","comment_lines","1865",""
"","","","","code_smells","192","False"
"","","","","complexity","1555",""
"","","","","functions","803",""
"","","","","violations","192","False"
"","","","","ncloc_language_distribution","java=374;kotlin=10423;xml=2881",""
"","","","","statements","4187",""
"","","","","comment_lines_density","12.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","13678",""
"","","","","files","276",""
"agoda-com/Kakao","821","2017-09-26T04:21:50Z","21","sqale_rating","1.0","True"
"","","","","lines","8408",""
"","","","","comment_lines","2191",""
"","","","","files","169",""
"","","","","complexity","576",""
"","","","","functions","482",""
"","","","","ncloc_language_distribution","kotlin=6764;xml=342",""
"","","","","statements","1457",""
"","","","","code_smells","12","False"
"","","","","ncloc","7106",""
"","","","","comment_lines_density","23.6","False"
"","","","","violations","12","False"
"AndroidDeveloperLB/AutoFitTextView","816","2014-06-06T22:06:37Z","10","statements","147",""
"","","","","code_smells","6","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=347;xml=198",""
"","","","","ncloc","545",""
"","","","","functions","34",""
"","","","","comment_lines_density","8.9","False"
"","","","","comment_lines","53",""
"","","","","lines","656",""
"","","","","violations","6","False"
"","","","","complexity","63",""
"","","","","files","20",""
"googlesamples/android-databinding","812","2018-02-21T10:20:39Z","1","violations","12","False"
"","","","","ncloc_language_distribution","kotlin=1354;xml=1146",""
"","","","","lines","3691",""
"","","","","ncloc","2500",""
"","","","","complexity","173",""
"","","","","statements","345",""
"","","","","comment_lines_density","29.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","files","45",""
"","","","","functions","102",""
"","","","","comment_lines","1046",""
"","","","","code_smells","12","False"
"EmmyLua/IntelliJ-EmmyLua","811","2017-01-18T15:26:03Z","16","violations","1263","False"
"","","","","lines","52193",""
"","","","","ncloc","35314",""
"","","","","ncloc_language_distribution","java=11672;kotlin=22892;web=204;xml=546",""
"","","","","comment_lines_density","19.5","False"
"","","","","functions","3369",""
"","","","","statements","13075",""
"","","","","comment_lines","8576",""
"","","","","files","673",""
"","","","","complexity","6927",""
"","","","","code_smells","1143","False"
"","","","","sqale_rating","1.0","True"
"RocketChat/Rocket.Chat.Android","800","2015-12-17T14:36:45Z","82","sqale_rating","1.0","True"
"","","","","statements","8735",""
"","","","","comment_lines_density","6.5","False"
"","","","","files","750",""
"","","","","complexity","3378",""
"","","","","violations","797","False"
"","","","","comment_lines","2957",""
"","","","","code_smells","794","False"
"","","","","ncloc_language_distribution","kotlin=28790;xml=14084",""
"","","","","ncloc","42874",""
"","","","","functions","2003",""
"","","","","lines","50261",""
"sanogueralorenzo/Android-Kotlin-Clean-Architecture","794","2017-12-26T17:19:43Z","1","lines","3724",""
"","","","","ncloc_language_distribution","kotlin=2165;xml=512",""
"","","","","functions","157",""
"","","","","files","97",""
"","","","","ncloc","2677",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","77","False"
"","","","","comment_lines","270",""
"","","","","comment_lines_density","9.2","False"
"","","","","statements","656",""
"","","","","violations","77","False"
"","","","","complexity","180",""
"jaredrummler/Cyanea","789","2018-01-17T23:49:00Z","4","functions","345",""
"","","","","ncloc","7767",""
"","","","","statements","1631",""
"","","","","files","150",""
"","","","","violations","33","False"
"","","","","lines","10230",""
"","","","","comment_lines_density","22.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","2194",""
"","","","","complexity","699",""
"","","","","code_smells","30","False"
"","","","","ncloc_language_distribution","java=37;kotlin=5322;xml=2408",""
"easyandroidgroup/EasyAndroid","783","2018-05-05T15:20:20Z","2","ncloc","5640",""
"","","","","files","70",""
"","","","","complexity","921",""
"","","","","code_smells","29","False"
"","","","","functions","479",""
"","","","","ncloc_language_distribution","kotlin=4656;xml=984",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","841",""
"","","","","violations","30","False"
"","","","","comment_lines_density","13.0","False"
"","","","","lines","6970",""
"","","","","statements","1705",""
"DroidKaigi/conference-app-2019","773","2018-08-05T09:04:41Z","145","ncloc_language_distribution","java=345;kotlin=14790;web=4;xml=4723",""
"","","","","complexity","1299",""
"","","","","files","537",""
"","","","","statements","3862",""
"","","","","lines","23591",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","709",""
"","","","","ncloc","19862",""
"","","","","comment_lines_density","2.7","False"
"","","","","code_smells","94","False"
"","","","","violations","94","False"
"","","","","comment_lines","550",""
"qiuxiang/react-native-amap3d","755","2017-05-26T06:48:38Z","7","complexity","294",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","3415",""
"","","","","files","58",""
"","","","","comment_lines","137",""
"","","","","code_smells","18","False"
"","","","","comment_lines_density","5.1","False"
"","","","","ncloc","2575",""
"","","","","functions","227",""
"","","","","violations","18","False"
"","","","","ncloc_language_distribution","java=46;js=1235;kotlin=1247;xml=47",""
"","","","","statements","486",""
"lopspower/CircularProgressBar","751","2015-10-20T18:56:21Z","2","statements","174",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","59",""
"","","","","ncloc_language_distribution","kotlin=390;xml=232",""
"","","","","complexity","54",""
"","","","","comment_lines_density","8.7","False"
"","","","","ncloc","622",""
"","","","","violations","0","True"
"","","","","lines","755",""
"","","","","files","11",""
"","","","","code_smells","0","True"
"","","","","functions","18",""
"bufferapp/android-clean-architecture-mvi-boilerplate","750","2017-12-18T15:16:07Z","9","ncloc_language_distribution","kotlin=2970;xml=278",""
"","","","","statements","654",""
"","","","","ncloc","3248",""
"","","","","comment_lines_density","11.2","False"
"","","","","code_smells","14","False"
"","","","","files","126",""
"","","","","functions","255",""
"","","","","comment_lines","411",""
"","","","","violations","14","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","4115",""
"","","","","complexity","286",""
"tuskyapp/Tusky","743","2017-01-02T23:20:55Z","101","statements","10608",""
"","","","","lines","60530",""
"","","","","code_smells","384","False"
"","","","","comment_lines_density","7.0","False"
"","","","","functions","1909",""
"","","","","files","532",""
"","","","","complexity","4435",""
"","","","","comment_lines","3591",""
"","","","","ncloc_language_distribution","java=12790;kotlin=14980;xml=20281",""
"","","","","ncloc","48051",""
"","","","","violations","406","False"
"","","","","sqale_rating","1.0","True"
"hussien89aa/KotlinUdemy","741","2017-05-19T17:24:22Z","1","sqale_rating","1.0","True"
"","","","","code_smells","0","True"
"","","","","violations","0","True"
"qingmei2/MVVM-Rhine","732","2017-10-14T09:55:24Z","1","files","23",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","90",""
"","","","","complexity","33",""
"","","","","violations","0","True"
"","","","","functions","20",""
"","","","","comment_lines","6",""
"","","","","code_smells","0","True"
"","","","","ncloc_language_distribution","kotlin=775;xml=26",""
"","","","","comment_lines_density","0.7","False"
"","","","","lines","920",""
"","","","","ncloc","801",""
"burhanrashid52/YoutubeUX","731","2018-03-29T06:38:05Z","1","files","100",""
"","","","","complexity","237",""
"","","","","code_smells","24","False"
"","","","","violations","26","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","4066",""
"","","","","ncloc","3250",""
"","","","","functions","145",""
"","","","","statements","597",""
"","","","","comment_lines","370",""
"","","","","comment_lines_density","10.2","False"
"","","","","ncloc_language_distribution","java=151;kotlin=2194;xml=905",""
"tajchert/WaitingDots","730","2015-03-25T12:46:02Z","5","comment_lines_density","1.7","False"
"","","","","complexity","29",""
"","","","","code_smells","0","True"
"","","","","functions","21",""
"","","","","comment_lines","6",""
"","","","","lines","443",""
"","","","","ncloc","354",""
"","","","","files","14",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=244;xml=110",""
"","","","","statements","79",""
"","","","","violations","0","True"
"nitrico/LastAdapter","729","2016-06-24T21:05:40Z","1","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=206;kotlin=530;xml=201",""
"","","","","functions","72",""
"","","","","comment_lines","95",""
"","","","","ncloc","937",""
"","","","","statements","286",""
"","","","","comment_lines_density","9.2","False"
"","","","","files","29",""
"","","","","complexity","156",""
"","","","","lines","1253",""
"","","","","code_smells","21","False"
"","","","","violations","21","False"
"vanniktech/gradle-dependency-graph-generator-plugin","726","2018-03-02T23:26:09Z","6","code_smells","6","False"
"","","","","ncloc","1190",""
"","","","","comment_lines_density","5.2","False"
"","","","","lines","1391",""
"","","","","ncloc_language_distribution","kotlin=1190",""
"","","","","complexity","73",""
"","","","","statements","303",""
"","","","","comment_lines","65",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","6","False"
"","","","","functions","50",""
"","","","","files","12",""
"juanchosaravia/KedditBySteps","724","2016-01-28T21:43:37Z","5","ncloc","1059",""
"","","","","sqale_rating","1.0","True"
"","","","","files","42",""
"","","","","comment_lines_density","8.6","False"
"","","","","violations","7","False"
"","","","","code_smells","7","False"
"","","","","comment_lines","100",""
"","","","","lines","1288",""
"","","","","complexity","101",""
"","","","","functions","56",""
"","","","","ncloc_language_distribution","java=8;kotlin=803;xml=248",""
"","","","","statements","232",""
"devzwy/open_nsfw_android","724","2019-05-14T03:44:51Z","1","ncloc","943",""
"","","","","statements","141",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","7.9","False"
"","","","","lines","1067",""
"","","","","functions","23",""
"","","","","complexity","41",""
"","","","","ncloc_language_distribution","java=24;kotlin=404;xml=515",""
"","","","","comment_lines","81",""
"","","","","files","33",""
"","","","","violations","8","False"
"","","","","code_smells","8","False"
"gildor/kotlin-coroutines-retrofit","724","2017-02-19T10:32:33Z","13","complexity","98",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","203",""
"","","","","code_smells","2","False"
"","","","","ncloc","562",""
"","","","","ncloc_language_distribution","kotlin=562",""
"","","","","violations","2","False"
"","","","","comment_lines","145",""
"","","","","lines","766",""
"","","","","comment_lines_density","20.5","False"
"","","","","functions","70",""
"","","","","files","6",""
"tajchert/Nammu","718","2015-06-04T00:03:57Z","6","functions","47",""
"","","","","lines","1081",""
"","","","","comment_lines","179",""
"","","","","comment_lines_density","17.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=771;xml=106",""
"","","","","files","17",""
"","","","","complexity","102",""
"","","","","violations","8","False"
"","","","","statements","235",""
"","","","","code_smells","8","False"
"","","","","ncloc","877",""
"Kotlin/kotlinx.html","712","2015-04-02T09:44:50Z","14","functions","255",""
"","","","","comment_lines_density","7.6","False"
"","","","","violations","91","False"
"","","","","files","92",""
"","","","","ncloc_language_distribution","js=31;kotlin=8625;xml=6901",""
"","","","","comment_lines","1276",""
"","","","","code_smells","91","False"
"","","","","statements","2420",""
"","","","","complexity","506",""
"","","","","lines","18179",""
"","","","","ncloc","15557",""
"","","","","sqale_rating","1.0","True"
"iammert/ReadableBottomBar","709","2019-03-09T21:47:37Z","2","violations","6","False"
"","","","","lines","989",""
"","","","","code_smells","6","False"
"","","","","functions","34",""
"","","","","comment_lines_density","2.8","False"
"","","","","statements","129",""
"","","","","comment_lines","24",""
"","","","","complexity","49",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=388;xml=457",""
"","","","","files","34",""
"","","","","ncloc","845",""
"stfalcon-studio/StfalconImageViewer","694","2018-12-07T08:53:59Z","1","comment_lines_density","11.8","False"
"","","","","complexity","259",""
"","","","","ncloc_language_distribution","java=160;kotlin=1651;xml=874",""
"","","","","statements","590",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","2685",""
"","","","","files","65",""
"","","","","violations","1","False"
"","","","","comment_lines","359",""
"","","","","code_smells","0","True"
"","","","","functions","157",""
"","","","","lines","3682",""
"naman14/TimberX","686","2018-05-13T19:22:32Z","8","ncloc","10956",""
"","","","","violations","56","False"
"","","","","code_smells","56","False"
"","","","","comment_lines_density","17.0","False"
"","","","","comment_lines","2245",""
"","","","","files","242",""
"","","","","functions","535",""
"","","","","lines","15351",""
"","","","","complexity","958",""
"","","","","ncloc_language_distribution","java=543;kotlin=7660;xml=2753",""
"","","","","statements","2746",""
"","","","","sqale_rating","1.0","True"
"skydoves/Balloon","682","2019-07-14T07:14:32Z","4","sqale_rating","1.0","True"
"","","","","lines","3186",""
"","","","","ncloc","2307",""
"","","","","comment_lines","620",""
"","","","","statements","467",""
"","","","","comment_lines_density","21.2","False"
"","","","","complexity","160",""
"","","","","files","61",""
"","","","","violations","0","True"
"","","","","code_smells","0","True"
"","","","","ncloc_language_distribution","kotlin=1339;xml=968",""
"","","","","functions","129",""
"permissions-dispatcher/permissions-dispatcher-plugin","681","2016-04-25T07:29:07Z","3","complexity","170",""
"","","","","lines","1280",""
"","","","","code_smells","4","False"
"","","","","ncloc_language_distribution","java=117;kotlin=861;xml=88",""
"","","","","functions","92",""
"","","","","statements","376",""
"","","","","violations","17","False"
"","","","","files","25",""
"","","","","comment_lines_density","0.2","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1066",""
"","","","","comment_lines","2",""
"mrsegev/MovieNight","679","2018-02-23T20:28:03Z","1","functions","248",""
"","","","","files","139",""
"","","","","ncloc","4837",""
"","","","","code_smells","15","False"
"","","","","lines","5752",""
"","","","","complexity","295",""
"","","","","comment_lines_density","6.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=3852;xml=985",""
"","","","","statements","1026",""
"","","","","comment_lines","337",""
"","","","","violations","15","False"
"CarGuo/GSYGithubAppKotlin","673","2018-11-08T09:07:20Z","2","statements","3832",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","16309",""
"","","","","comment_lines","1767",""
"","","","","files","260",""
"","","","","lines","19954",""
"","","","","complexity","1558",""
"","","","","ncloc_language_distribution","kotlin=13593;xml=2716",""
"","","","","code_smells","129","False"
"","","","","functions","1028",""
"","","","","comment_lines_density","9.8","False"
"","","","","violations","130","False"
"andremion/CounterFab","669","2017-01-05T18:17:50Z","3","files","17",""
"","","","","statements","123",""
"","","","","ncloc","483",""
"","","","","code_smells","1","False"
"","","","","comment_lines_density","12.2","False"
"","","","","complexity","49",""
"","","","","functions","24",""
"","","","","comment_lines","67",""
"","","","","ncloc_language_distribution","java=40;kotlin=302;xml=141",""
"","","","","violations","1","False"
"","","","","lines","652",""
"","","","","sqale_rating","1.0","True"
"Kennyc1012/BottomSheetMenu","667","2015-08-09T22:53:45Z","7","comment_lines_density","18.2","False"
"","","","","functions","117",""
"","","","","ncloc","1528",""
"","","","","ncloc_language_distribution","kotlin=1155;xml=373",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","340",""
"","","","","statements","314",""
"","","","","code_smells","19","False"
"","","","","violations","19","False"
"","","","","lines","1903",""
"","","","","files","34",""
"","","","","complexity","188",""
"acejump/AceJump","661","2012-08-07T07:24:57Z","13","comment_lines_density","15.8","False"
"","","","","lines","2744",""
"","","","","code_smells","31","False"
"","","","","violations","31","False"
"","","","","ncloc","2213",""
"","","","","ncloc_language_distribution","kotlin=2143;xml=70",""
"","","","","statements","800",""
"","","","","functions","137",""
"","","","","comment_lines","414",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","332",""
"","","","","files","25",""
"tommybuonomo/morph-bottom-navigation","659","2018-06-10T22:35:59Z","1","ncloc","868",""
"","","","","comment_lines_density","2.5","False"
"","","","","complexity","40",""
"","","","","files","27",""
"","","","","functions","25",""
"","","","","statements","149",""
"","","","","ncloc_language_distribution","java=21;kotlin=349;xml=498",""
"","","","","violations","8","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","1019",""
"","","","","comment_lines","22",""
"","","","","code_smells","8","False"
"SalomonBrys/Kotson","652","2015-02-15T13:02:21Z","7","ncloc","1108",""
"","","","","functions","36",""
"","","","","comment_lines_density","0.0","False"
"","","","","complexity","76",""
"","","","","ncloc_language_distribution","kotlin=1108",""
"","","","","statements","673",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","17","False"
"","","","","comment_lines","0",""
"","","","","lines","1458",""
"","","","","files","12",""
"","","","","violations","17","False"
"googlecodelabs/android-testing","650","2015-10-16T21:05:01Z","15","files","93",""
"","","","","ncloc_language_distribution","kotlin=3786;xml=778",""
"","","","","comment_lines","2101",""
"","","","","lines","7410",""
"","","","","comment_lines_density","31.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","4564",""
"","","","","violations","99","False"
"","","","","code_smells","99","False"
"","","","","statements","1334",""
"","","","","functions","321",""
"","","","","complexity","394",""
"dlew/android-architecture-counter-sample","647","2017-05-17T23:41:59Z","1","code_smells","0","True"
"","","","","lines","745",""
"","","","","comment_lines","17",""
"","","","","comment_lines_density","2.8","False"
"","","","","files","20",""
"","","","","ncloc_language_distribution","kotlin=449;xml=142",""
"","","","","ncloc","591",""
"","","","","statements","130",""
"","","","","functions","39",""
"","","","","violations","0","True"
"","","","","complexity","61",""
"","","","","sqale_rating","1.0","True"
"FredJul/Flym","644","2013-04-23T09:22:14Z","43","functions","225",""
"","","","","violations","46","False"
"","","","","code_smells","43","False"
"","","","","statements","1596",""
"","","","","ncloc_language_distribution","java=493;kotlin=3497;xml=3874",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","7864",""
"","","","","files","136",""
"","","","","comment_lines_density","13.8","False"
"","","","","complexity","619",""
"","","","","comment_lines","1264",""
"","","","","lines","10431",""
"kbiakov/CodeView-Android","644","2016-08-22T21:54:03Z","3","comment_lines","2719",""
"","","","","ncloc_language_distribution","css=128;java=2259;js=301;kotlin=1542;py=535;ruby=571;web=1787;xml=317",""
"","","","","files","83",""
"","","","","functions","358",""
"","","","","code_smells","747","False"
"","","","","lines","13143",""
"","","","","statements","2442",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","847",""
"","","","","violations","779","False"
"","","","","ncloc","7440",""
"","","","","comment_lines_density","26.8","False"
"HabitRPG/habitica-android","643","2015-02-20T17:21:05Z","68","comment_lines_density","2.5","False"
"","","","","ncloc_language_distribution","java=15472;kotlin=37862;xml=43543",""
"","","","","lines","111681",""
"","","","","comment_lines","2511",""
"","","","","statements","26798",""
"","","","","violations","779","False"
"","","","","code_smells","624","False"
"","","","","sqale_rating","1.0","True"
"","","","","complexity","7132",""
"","","","","functions","3462",""
"","","","","ncloc","96877",""
"","","","","files","1116",""
"mplatvoet/kovenant","637","2014-12-21T20:17:01Z","5","complexity","958",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","2905",""
"","","","","ncloc","7268",""
"","","","","functions","573",""
"","","","","lines","11098",""
"","","","","violations","61","False"
"","","","","comment_lines_density","27.6","False"
"","","","","ncloc_language_distribution","java=30;kotlin=7236;xml=2",""
"","","","","files","95",""
"","","","","comment_lines","2777",""
"","","","","code_smells","61","False"
"amanjeetsingh150/kotlin-android-examples","637","2017-11-13T16:25:07Z","7","files","774",""
"","","","","comment_lines_density","5.4","False"
"","","","","ncloc_language_distribution","java=83;kotlin=6889;py=1964;web=203;xml=14559",""
"","","","","lines","26757",""
"","","","","functions","449",""
"","","","","comment_lines","1356",""
"","","","","violations","90","False"
"","","","","code_smells","90","False"
"","","","","ncloc","23698",""
"","","","","statements","1474",""
"","","","","complexity","579",""
"","","","","sqale_rating","1.0","True"
"TonnyL/Mango","637","2017-07-03T03:33:15Z","6","code_smells","10","False"
"","","","","files","159",""
"","","","","violations","11","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","13981",""
"","","","","ncloc_language_distribution","kotlin=6145;web=640;xml=1759",""
"","","","","functions","370",""
"","","","","statements","1413",""
"","","","","ncloc","8544",""
"","","","","complexity","553",""
"","","","","comment_lines","4601",""
"","","","","comment_lines_density","35.0","False"
"Tinder/StateMachine","631","2018-06-01T22:33:51Z","6","ncloc_language_distribution","kotlin=725;xml=630",""
"","","","","statements","246",""
"","","","","functions","57",""
"","","","","code_smells","32","False"
"","","","","complexity","66",""
"","","","","lines","1598",""
"","","","","sqale_rating","1.0","True"
"","","","","files","3",""
"","","","","ncloc","1355",""
"","","","","comment_lines_density","5.8","False"
"","","","","violations","32","False"
"","","","","comment_lines","84",""
"thomasnield/kotlin-statistics","631","2017-03-08T20:14:19Z","5","functions","76",""
"","","","","statements","888",""
"","","","","comment_lines","126",""
"","","","","comment_lines_density","6.0","False"
"","","","","ncloc_language_distribution","kotlin=1962",""
"","","","","violations","3","False"
"","","","","lines","2723",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1962",""
"","","","","complexity","149",""
"","","","","code_smells","3","False"
"","","","","files","31",""
"FasterXML/jackson-module-kotlin","626","2014-08-27T20:20:03Z","16","violations","457","False"
"","","","","comment_lines_density","14.5","False"
"","","","","files","100",""
"","","","","statements","796",""
"","","","","functions","175",""
"","","","","complexity","326",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","10044",""
"","","","","ncloc","8065",""
"","","","","ncloc_language_distribution","css=1419;java=25;js=29;kotlin=2517;web=3935;xml=140",""
"","","","","code_smells","442","False"
"","","","","comment_lines","1373",""
"ansman/kotshi","622","2017-06-28T15:39:00Z","8","comment_lines","112",""
"","","","","comment_lines_density","4.1","False"
"","","","","violations","8","False"
"","","","","files","53",""
"","","","","code_smells","8","False"
"","","","","ncloc","2623",""
"","","","","functions","66",""
"","","","","lines","2980",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","217",""
"","","","","ncloc_language_distribution","kotlin=2623",""
"","","","","statements","611",""
"GwonHyeok/StickySwitch","618","2017-03-13T10:18:01Z","6","ncloc","649",""
"","","","","lines","925",""
"","","","","comment_lines","133",""
"","","","","code_smells","9","False"
"","","","","files","18",""
"","","","","comment_lines_density","17.0","False"
"","","","","statements","241",""
